code,name,county,city,full_address,long,lat,district,name_y,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
420328,Everetts Elementary S.T.E.M. Academy,Halifax,Roanoke Rapids,"4391 Highway 158, Roanoke Rapids, NC 27870",-77.7446678,36.4449469,Halifax County Schools,Everetts Elementary S.T.E.M. Academy,71.2,F,29.5,4
11A000,Evergreen Community Charter,Buncombe,Asheville,"50 Bell Road, Asheville, NC 28805",-82.499019,35.60293,Charter Schools,Evergreen Community Charter,11.8,B,78.5,2
240344,Evergreen Elementary,Columbus,Evergreen,"7211 Old 74 Hwy, Evergreen, NC 28438",-80.4392229,34.9810153,Columbus County Schools,Evergreen Elementary,85.8,D,43.9,3
32R000,Excelsior Classical Academy,Durham,Durham,"4100 N Roxboro Street, Durham, NC 27704",-78.9003424,36.047305,Charter Schools,Excelsior Classical Academy,7.5,C,63.6,2
290328,Fair Grove Elementary,Davidson,Thomasville,"217 Cedar Lodge Road, Thomasville, NC 27360",-80.078673,35.8476484,Davidson County Schools,Fair Grove Elementary,48.3,D,50.2,3
780324,Fairgrove Middle,Robeson,Fairmont,"1953 Fairgrove Sch Road, Fairmont, NC 28340",-79.1741651,34.493302,Robeson County Schools,Fairgrove Middle,83.5,D,33.9,4
780325,Fairmont High,Robeson,Fairmont,"5419 Old Stage Road, Fairmont, NC 28340",-79.094735,34.4797693,Robeson County Schools,Fairmont High,80.4,C,33.1,4
780326,Fairmont Middle,Robeson,Fairmont,"402 Iona St, Fairmont, NC 28340",-79.1177842,34.4979328,Robeson County Schools,Fairmont Middle,89.3,F,25,4
110356,"Fairview Elementary, Fairview",Buncombe,Fairview,"1355 Charlotte Hwy, Fairview, NC 28730",-82.411025,35.5228804,Buncombe County Schools,Fairview Elementary,44,B,66.9,2
410364,"Fairview Elementary, High Point",Guilford,High Point,"608 Fairview Street, High Point, NC 27260",-80.0074642,35.947588,Guilford County Schools,Fairview Elementary,77.2,D,31,4
900312,"Fairview Elementary, Monroe",Union,Monroe,"110 Clontz Road, Monroe, NC 28110",-80.5400506,35.1602297,Union County Public Schools,Fairview Elementary,25.5,B,77,2
640302,"Fairview Elementary, Rocky Mount",Nash,Rocky Mount,"720 N Fairview Rd, Rocky Mount, NC 27801",-77.776051,35.9388429,aanomatch,aanomatch,,,,
500314,"Fairview Elementary, Sylva",Jackson,Sylva,"251 Big Orange Way, Sylva, NC 28779",-83.1953264,35.3552202,Jackson County Schools,Fairview Elementary,55.5,C,60.6,2
770318,Fairview Heights Elementary,Richmond,Hamlet,"104 Hamilton Ave, Hamlet, NC 28345",-79.7136073,34.8886731,Richmond County Schools,Fairview Heights Elementary,85,C,60.9,2
800352,Faith Elementary,Rowan,Faith,"1000 School St, Faith, NC 28041",-80.46168,35.5896275,Rowan-Salisbury Schools,Faith Elementary,44.4,B,65.7,2
740334,Falkland Elementary,Pitt,Greenville,"503 NC 121, Greenville, NC 27834",-77.486723,35.669671,Pitt County Schools,Falkland Elementary,78.7,D,35.1,4
990316,Fall Creek Elementary,Yadkin,East Bend,"2720 Smithtown Rd, East Bend, NC 27018",-80.588585,36.229058,Yadkin County Schools,Fall Creek Elementary,51.8,B,69,2
39A000,Falls Lake Academy,Granville,Creedmoor,"1701 East Lyon Station Road, Creedmoor, NC 27522",-78.7346385,36.111908,Charter Schools,Falls Lake Academy,8.2,B,73.1,2
230340,Fallston Elementary,Cleveland,Fallston,"112 Gary Street, Fallston, NC 28042",-81.4997962,35.4268058,Cleveland County Schools,Fallston Elementary,48,C,60.1,2
760320,Farmer Elementary,Randolph,Asheboro,"3557 Grange Hall Rd, Asheboro, NC 27205",-79.971027,35.641768,Randolph County Schools,Farmer Elementary,56.5,C,53.6,3
920414,Farmington Woods Elementary,Wake,Cary,"1413 Hampton Valley Rd, Cary, NC 27511",-78.774601,35.757938,Wake County Schools,Farmington Woods Elementary,31.6,B,72.2,2
740344,Farmville Central High,Pitt,Farmville,"3308 E Wilson Street, Farmville, NC 27828",-77.5688377,35.5941998,Pitt County Schools,Farmville Central High,49.9,C,44.3,3
740340,Farmville Middle,Pitt,Farmville,"3914 Grimmersburg Street, Farmville, NC 27828",-77.5732292,35.5936426,Pitt County Schools,Farmville Middle,57.9,C,48.2,3
320344,Fayetteville Street Elementary,Durham,Durham,"2905 Fayetteville Street, Durham, NC 27707",-78.9055943,35.9643844,Durham Public Schools,Fayetteville Street Elementary,70.3,D,26.6,4
260361,Ferguson-Easley Elementary,Cumberland,Fayetteville,"1857 Seabrook Road, Fayetteville, NC 28301",-78.8992413,35.0849912,Cumberland County Schools,Ferguson-Easley Elementary,90,D,35.8,4
410367,Ferndale Middle,Guilford,High Point,"701 Ferndale Boulevard, High Point, NC 27262",-80.019831,35.957043,Guilford County Schools,Ferndale Middle,59.7,D,34.2,4
45B000,FernLeaf Community Charter School,Henderson,Fletcher,"58 Howard Gap Rd, Fletcher, NC 28732",-82.5016032,35.4238131,Charter Schools,FernLeaf Community Charter School,13.7,C,58.6,3
980336,Fike High,Wilson,Wilson,"500 Harrison Dr N, Wilson, NC 27893",-77.9219147,35.7534636,Wilson County Schools,Fike High,15.1,C,45,3
280324,First Flight Elementary School,Dare,Kill Devil Hills,"107 Veterans Drive, Kill Devil Hills, NC 27948",-75.665397,36.0061833,Dare County Schools,First Flight Elementary School,42.5,B,76.5,2
280330,First Flight High School,Dare,Kill Devil Hills,"100 Veterans Drive, Kill Devil Hills, NC 27948",-75.666368,36.0092209,Dare County Schools,First Flight High School,21,B,66.4,2
280328,First Flight Middle School,Dare,Kill Devil Hills,"109 Veterans Drive, Kill Devil Hills, NC 27948",-75.6674469,36.0052178,Dare County Schools,First Flight Middle School,29.2,C,65.9,2
600368,First Ward Creative Arts Acad,Mecklenburg,Charlotte,"715 N. Caldwell St, Charlotte, NC 28202",-80.832275,35.2291079,Charlotte-Mecklenburg Schools,First Ward Creative Arts Acad,55.1,C,60.3,2
860320,Flat Rock Elementary,Surry,Mount Airy,"1539 E Pine St, Mount Airy, NC 27030",-80.568901,36.513148,Surry County Schools,Flat Rock Elementary,59.1,B,65.7,2
450328,"Flat Rock Middle, East Flat Rock",Henderson,East Flat Rock,"191 Preston Lane, East Flat Rock, NC 28726",-82.4300711,35.2704932,Henderson County Schools,Flat Rock Middle,64.3,C,62.9,2
340372,"Flat Rock Middle, Winston-Salem",Forsyth,Winston-Salem,"4648 Ebert Rd, Winston-Salem, NC 27284",-80.303403,36.0089929,Forsyth County Schools,Flat Rock Middle,48,D,42.7,3
450332,Fletcher Elementary,Henderson,Fletcher,"500 Howard Gap Road, Fletcher, NC 28732",-82.4978635,35.4091617,Henderson County Schools,Fletcher Elementary,43.1,B,74.1,2
410370,Florence Elementary,Guilford,High Point,"7605 Florence School Road, High Point, NC 27265",-79.956723,36.024462,Guilford County Schools,Florence Elementary,41.8,B,69.3,2
530316,Floyd L Knight Children Center,Lee,Sanford,"607 W McIntosh St, Sanford, NC 27330",-79.166698,35.463216,aanomatch,aanomatch,,,,
990320,Forbush Elementary,Yadkin,East Bend,"1400 Bloomtown Rd, East Bend, NC 27018",-80.4952509,36.1236527,Yadkin County Schools,Forbush Elementary,26.1,B,71.4,2
990322,Forbush High,Yadkin,East Bend,"1525 Falcon Road, East Bend, NC 27018",-80.557878,36.144049,Yadkin County Schools,Forbush High,44.5,B,59.1,3
990321,Forbush Middle,Yadkin,East Bend,"1431 Falcon Rd, East Bend, NC 27018",-80.556528,36.139654,Yadkin County Schools,Forbush Middle,54.8,C,61.4,2
810336,Forest City-Dunbar Elementary School,Rutherford,Forest City,"286 Learning Parkway, Forest City, NC 28043",-81.8747228,35.3474679,Rutherford County Schools,Forest City-Dunbar Elementary School,67.9,C,58.7,3
120316,Forest Hill Elementary,Burke,Morganton,"304 Ann Street, Morganton, NC 28655",-81.702584,35.732251,Burke County Schools,Forest Hill Elementary,79.5,C,55.7,3
650328,Forest Hills Global Elementary,New Hanover,Wilmington,"602 Colonial Drive, Wilmington, NC 28403",-77.9140674,34.2304516,New Hanover County Schools,Forest Hills Global Elementary,81.9,D,36.9,4
900316,Forest Hills High,Union,Marshville,"100 Forest Hills School Rd, Marshville, NC 28103",-80.414609,34.979545,Union County Public Schools,Forest Hills High,60,C,47.6,3
980338,Forest Hills Middle,Wilson,Wilson,"1210 Forest Hills, Wilson, NC 27893",-77.9505747,35.7405796,Wilson County Schools,Forest Hills Middle,24.9,B,64.6,2
132308,"Forest Park Elementary, Kannapolis",Cabarrus,Kannapolis,"1333 Forest Park Drive, Kannapolis, NC 28083",-80.6040156,35.4797992,Kannapolis City Schools,Forest Park Elementary,41.7,C,57.2,3
340376,"Forest Park Elementary, Winston-Salem",Forsyth,Winston Salem,"2019 Milford Street, Winston Salem, NC 27107",-80.2156541,36.0717656,Forsyth County Schools,Forest Park Elementary,71,D,29.4,4
920417,Forest Pines Drive Elementary,Wake,Raleigh,"11455 Forest Pines Drive, Raleigh, NC 27614",-78.5458694,35.9521548,Wake County Schools,Forest Pines Drive Elementary,44.2,C,61.9,2
320332,Forest View Elementary,Durham,Durham,"3007 Mount Sinai Road, Durham, NC 27705",-78.991347,35.988694,Durham Public Schools,Forest View Elementary,57.3,C,55.9,3
360396,Forestview High,Gaston,Gastonia,"5545 Union Road, Gastonia, NC 28056",-81.1332759,35.1844584,Gaston County Schools,Forestview High,34.1,B,66,2
920413,Forestville Road Elementary,Wake,Knightdale,"100 Lawson Ridge Road, Knightdale, NC 27545",-78.4815098,35.8098565,Wake County Schools,Forestville Road Elementary,60.9,D,40.8,3
810350,Forrest W. Hunt Elementary School,Rutherford,Forest City,"100 Forrest Hunt Drive, Forest City, NC 28043",-81.8512079,35.3016246,Rutherford County Schools,Forrest W. Hunt Elementary School,48.5,B,70.2,2
34F000,Forsyth Academy,Forsyth,Winston-Salem,"5426 Shattalon Drive, Winston-Salem, NC 27106",-80.2992777,36.1692078,Charter Schools,Forsyth Academy,81.9,D,46.1,3
340LEA,Forsyth County Schools,Forsyth,Winston Salem,"475 Corporate Square Drive, Winston Salem, NC 27105",-80.2811901,36.180396,aanomatch,aanomatch,,,,
510340,Four Oaks Elementary,Johnston,Four Oaks,"180 Hatcher St, Four Oaks, NC 27524",-78.4324727,35.4506865,Johnston County Schools,Four Oaks Elementary,65.1,C,51.1,3
510342,Four Oaks Middle,Johnston,Four Oaks,"1475 Boyette Road, Four Oaks, NC 27524",-78.404012,35.448782,Johnston County Schools,Four Oaks Middle,60,C,50.8,3
920415,Fox Road Elementary,Wake,Raleigh,"7101 Fox Rd, Raleigh, NC 27616",-78.5558904,35.8730807,Wake County Schools,Fox Road Elementary,75.6,C,55.3,3
681316,FPG Elementary,Orange,Chapel Hill,"101 Smith Level Rd, Chapel Hill, NC 27516",-79.0717835,35.8996687,Chapel Hill-Carrboro Schools,FPG Elementary,41.3,B,70.7,2
11K000,Francine Delany New School,Buncombe,Asheville,"119 Brevard Road, Asheville, NC 28806",-82.5937371,35.5736457,Charter Schools,Francine Delany New School,15.5,B,76.8,2
600394,Francis Bradley Middle,Mecklenburg,Huntersville,"13345 Beatties Ford Rd, Huntersville, NC 28078",-80.9244892,35.3967056,Charlotte-Mecklenburg Schools,Francis Bradley Middle,36.7,B,67.3,2
340457,Frank Morgan Elementary,Forsyth,Clemmons,"3210 Village Point Drive, Clemmons, NC 27012",-80.3948442,36.0320759,Forsyth County Schools,Frank Morgan Elementary,40.3,B,74.2,2
92F000,Franklin Academy,Wake,Wake Forest,"648 Flaherty Ave, Wake Forest, NC 27587",-78.4947409,35.9849449,Charter Schools,Franklin Academy,<5,A,81.3,1
350317,Franklin County Early College,Franklin,Louisburg,"8150 NC Highway 56, Louisburg, NC 27549",-78.328567,36.0868429,Franklin County Schools,Franklin County Early College,43.6,A,82,1
350LEA,Franklin County Schools,Franklin,Louisburg,"53 West River Road, Louisburg, NC 27549",-78.30671,36.094594,aanomatch,aanomatch,,,,
860324,Franklin Elementary,Surry,Mount Airy,"519 S Franklin Road, Mount Airy, NC 27030",-80.631,36.4894139,Surry County Schools,Franklin Elementary,73.8,C,61.9,2
560320,Franklin High,Macon,Franklin,"100 Panther Drive, Franklin, NC 28734",-83.3821942,35.1764261,Macon County Schools,Franklin High,47.3,B,63.8,2
350318,Franklinton Elementary,Franklin,Franklinton,"431 S Hillsborough St., Franklinton, NC 27525",-78.461682,36.0971603,Franklin County Schools,Franklinton Elementary,79.3,C,46.8,3
350321,Franklinton High,Franklin,Franklinton,"910 Cedar Creek Road, Franklinton, NC 27525",-78.4355741,36.0708066,Franklin County Schools,Franklinton High,42.3,B,54.3,3
350324,Franklinton Middle,Franklin,Franklinton,"3 N Main St, Franklinton, NC 27525",-78.4572191,36.1041922,Franklin County Schools,Franklinton Middle,68.3,C,45.4,3
760324,Franklinville Elementary,Randolph,Franklinville,"162 Pine St, Franklinville, NC 27248",-79.693213,35.747311,Randolph County Schools,Franklinville Elementary,62.9,D,50,3
690312,Fred A Anderson Elementary,Pamlico,Bayboro,"515 Anderson Drive, Bayboro, NC 28515",-76.7793944,35.1396514,Pamlico County Schools,Fred A Anderson Elementary,58.6,C,51,3
132312,Fred L Wilson Elementary,Cabarrus,Kannapolis,"1401 Pine Street, Kannapolis, NC 28081",-80.646735,35.4969046,Kannapolis City Schools,Fred L Wilson Elementary,45.7,C,48.7,3
180340,Fred T Foard High,Catawba,Newton,"3407 Plateau Road, Newton, NC 28658",-81.3709299,35.6175845,Catawba County Schools,Fred T Foard High,35.8,B,68.3,2
120318,Freedom High,Burke,Morganton,"511 Independence Boulevard, Morganton, NC 28655",-81.7176362,35.7446994,Burke County Schools,Freedom High,51.8,B,60.3,2
60322,Freedom Trail Elementary,Avery,Elk Park,"6110 North US Hwy 19E, Elk Park, NC 28622",-81.965574,36.1462441,Avery County Schools,Freedom Trail Elementary,65.4,B,61.2,2
960334,Fremont STARS Elementary,Wayne,Fremont,"101 Pine Street, Fremont, NC 27830",-77.9769541,35.5444581,Wayne County Public Schools,Fremont STARS Elementary,57.6,C,61.3,2
290330,Friedberg Elementary,Davidson,Winston-Salem,"1131 Friedberg Church Road, Winston-Salem, NC 27127",-80.276949,35.992418,Davidson County Schools,Friedberg Elementary,26.9,B,73.5,2
290333,Friendship Elementary,Davidson,Winston-Salem,"1490 Friendship-Ledford Road, Winston-Salem, NC 27107",-80.139914,35.960169,Davidson County Schools,Friendship Elementary,32.3,B,73.2,2
920416,Fuller Elementary,Wake,Raleigh,"806 Calloway Dr, Raleigh, NC 27610",-78.624056,35.754922,Wake County Schools,Fuller Elementary,40.2,C,66.2,2
920420,Fuquay-Varina Elementary,Wake,Fuquay-Varina,"6600 Johnson Pond Rd, Fuquay-Varina, NC 27526",-78.7576552,35.60298,Wake County Schools,Fuquay-Varina Elementary,35.7,C,62,2
920428,Fuquay-Varina High,Wake,Fuquay-Varina,"201 Bengal Blvd, Fuquay-Varina, NC 27526",-78.7967821,35.5976582,Wake County Schools,Fuquay-Varina High,24.4,B,61.3,2
920424,Fuquay-Varina Middle,Wake,Fuquay-Varina,"109 N Ennis Street, Fuquay-Varina, NC 27526",-78.7939453,35.5855514,Wake County Schools,Fuquay-Varina Middle,39.7,C,63.3,2
640329,G R Edwards Middle,Nash,Rocky Mount,"720 Edwards Street, Rocky Mount, NC 27803",-77.8223572,35.9351871,Nash-Rocky Mount Schools,G R Edwards Middle,50.3,D,40.6,3
740358,G R Whitfield,Pitt,Grimesland,"4839 School Rd, Grimesland, NC 27837",-77.1805052,35.5642188,Pitt County Schools,G R Whitfield,64.8,C,56.3,3
330304,G W Bulluck Elementary,Edgecombe,Rocky Mount,"3090 Bulluck School Road, Rocky Mount, NC 27801",-77.7196558,35.8826226,Edgecombe County Public School,G W Bulluck Elementary,60.3,D,41.4,3
330308,G W Carver Elementary,Edgecombe,Pinetops,"700 East Hamlet Street, Pinetops, NC 27864",-77.6307473,35.787811,Edgecombe County Public School,G W Carver Elementary,50.1,C,46.9,3
390320,G. C. Hawley Middle,Granville,Creedmoor,"2173 Brassfield Rd, Creedmoor, NC 27522",-78.6707669,36.1077205,Granville County Schools,G. C. Hawley Middle,39.5,C,56.4,3
260373,Gallberry Farm Elementary,Cumberland,Hope Mills,"8019 Byerly Drive, Hope Mills, NC 28348",-78.9150954,34.9203399,Cumberland County Schools,Gallberry Farm Elementary,55.9,C,61.2,2
140324,Gamewell Elementary,Caldwell,Lenoir,"2904 Morganton Boulevard, Lenoir, NC 28645",-81.5971681,35.8687437,Caldwell County Schools,Gamewell Elementary,48.2,C,51,3
140332,Gamewell Middle,Caldwell,Lenoir,"3210 Gamewell School Road, Lenoir, NC 28645",-81.5985465,35.8713259,Caldwell County Schools,Gamewell Middle,77.3,C,47,3
360400,Gardner Park Elementary,Gaston,Gastonia,"738 Armstrong Park Road, Gastonia, NC 28054",-81.1327935,35.2511249,Gaston County Schools,Gardner Park Elementary,44.5,C,52.4,3
980340,Gardners Elementary,Wilson,Elm City,"5404 NC 42 Hwy E, Elm City, NC 27822",-77.7821918,35.7434692,Wilson County Schools,Gardners Elementary,41.6,B,72.8,2
600397,Garinger High,Mecklenburg,Charlotte,"1100 Eastway Dr, Charlotte, NC 28205",-80.7819839,35.2409597,Charlotte-Mecklenburg Schools,Garinger High,48.5,C,35.5,4
920436,Garner High,Wake,Garner,"8228 Hebron Church Road, Garner, NC 27529",-78.5796774,35.6550224,Wake County Schools,Garner High,40.5,C,47.9,3
10347,Garrett Elementary,Alamance,Mebane,"3224 Old Hillsborough Road, Mebane, NC 27302",-79.2968657,36.0616231,Alamance-Burlington Schools,Audrey W. Garrett Elementary,55.9,C,53.6,3
360LEA,Gaston County Schools,Gaston,Gastonia,"943 Osceola Street, Gastonia, NC 28054",-81.177549,35.2506182,aanomatch,aanomatch,,,,
360337,Gaston Early College High School,Gaston,Dallas,"Gaston College Lena Sue Beam Bldg, 201 Hwy 321 South, Dallas, NC 28034",-81.1911586,35.3096148,Gaston County Schools,Gaston Early College High School,36.4,A,>95,1
660320,Gaston Elementary,Northampton,Gaston,"400 Broughton Street, Gaston, NC 27832",-77.6512038,36.507984,Northampton County Schools,Gaston Elementary,74.1,D,43.6,3
660325,Gaston Middle,Northampton,Gaston,"400 Broughton Street, Gaston, NC 27832",-77.6512038,36.507984,Northampton County Schools,Gaston Middle,69.3,F,28.1,4
360550,Gaston Virtual Academy,Gaston,Gastonia,"366 W Garrison Blvd, Gastonia, NC 28052",-81.1876466,35.2538046,Gaston County Schools,Gaston Virtual Academy,<5,C,55.1,3
41L000,Gate City Charter,Guilford,Greensboro,"123 Flemingfield Road, Greensboro, NC 27405",-79.710089,36.090168,Charter Schools,Gate City Charter,67.2,D,43.6,3
370LEA,Gates County Schools,Gates,Gatesville,"205 Main Street, Gatesville, NC 27938",-76.7522759,36.4035269,aanomatch,aanomatch,,,,
370312,Gates County Senior High,Gates,Gatesville,"088 Hwy 158 West, Gatesville, NC 27938",-76.7530098,36.4034878,Gates County Schools,Gates County Senior High,45.4,C,50.7,3
370316,Gatesville Elementary,Gates,Gatesville,"709 Main Street, Gatesville, NC 27938",-76.7552099,36.4103117,Gates County Schools,Gatesville Elementary,61.3,B,63.6,2
410379,Gateway Education Center,Guilford,Greensboro,"3205 East Wendover Aveune, Greensboro, NC 27405",-79.7368809,36.0879898,aanomatch,aanomatch,,,,
140306,Gateway School,Caldwell,Granite Falls,"1889 Dudley Shoals Road, Granite Falls, NC 28630",-81.3684654,35.8644054,aanomatch,aanomatch,,,,
410390,GC Middle College High,Guilford,Greensboro,"815 West Market Street, Greensboro, NC 27401",-79.800028,36.071019,aanomatch,aanomatch,,,,
550316,GE Massey Elementary,Lincoln,Lincolnton,"130 Newbold St, Lincolnton, NC 28092",-81.2373406,35.4783423,Lincoln County Schools,GE Massey Elementary,73.2,C,58.2,3
410388,General Greene Elementary,Guilford,Greensboro,"1501 Benjamin Parkway, Greensboro, NC 27408",-79.832024,36.1037219,Guilford County Schools,General Greene Elementary,38.3,B,70.9,2
430340,Gentry Primary,Harnett,Erwin,"114 Porter Drive, Erwin, NC 28339",-78.6702903,35.3374983,aanomatch,aanomatch,,,,
410542,George C Simkins Jr Elementary,Guilford,Greensboro,"3511 East Lee St, Greensboro, NC 27406",-79.725501,36.044825,Guilford County Schools,George C Simkins Jr Elementary,80.3,D,46.6,3
120320,George Hildebrand Elementary,Burke,Connelly Springs,"8078 G Hildebrand Sch Road, Connelly Springs, NC 28612",-81.5131553,35.6363304,Burke County Schools,George Hildebrand Elementary,65.4,B,62.2,2
320316,George L Carrington Middle,Durham,Durham,"227 Milton Road, Durham, NC 27712",-78.918438,36.086499,Durham Public Schools,George L Carrington Middle,68.9,C,44.7,3
320347,George Watts Elementary,Durham,Durham,"700 Watts Street, Durham, NC 27701",-78.9107013,36.0080068,Durham Public Schools,George Watts Elementary,35.8,B,67.6,2
850312,Germanton Elementary,Stokes,Germanton,"6085 NC 8 Hwy South, Germanton, NC 27019",-80.2343319,36.2974712,Stokes County Schools,Germanton Elementary,53.2,D,44.8,3
340380,Gibson Elementary,Forsyth,Winston-Salem,"2020 Walker Road, Winston-Salem, NC 27106",-80.311353,36.186613,Forsyth County Schools,Gibson Elementary,63.5,D,43.5,3
410382,Gibsonville Elementary,Guilford,Gibsonville,"401 East Joyner Street, Gibsonville, NC 27249",-79.542761,36.109592,Guilford County Schools,Gibsonville Elementary,52.3,B,66.3,2
410385,Gillespie Park Elementary,Guilford,Greensboro,"1900 Martin Luther King Jr Drive, Greensboro, NC 27406",-79.7784483,36.0490322,Guilford County Schools,Gillespie Park Elementary,77.2,D,29,4
65G000,Girls Leadership Academy of Wilmington,New Hanover,Wilmington,"606 South College Rd, Wilmington, NC 28403",-77.881522,34.2272489,Charter Schools,Girls Leadership Academy of Wilmington,76.5,D,40.3,3
30308,Glade Creek Elementary,Alleghany,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623",-80.979231,36.50085,Alleghany County Schools,Glade Creek Elementary,66.5,B,63.8,2
120324,Glen Alpine Elementary,Burke,Morganton,"302 London Street, Morganton, NC 28655",-81.778761,35.72393,Burke County Schools,Glen Alpine Elementary,68.7,C,59.7,3
110366,Glen Arden Elementary,Buncombe,Arden,"50 Pinehurst Circle, Arden, NC 28704",-82.4966592,35.4696154,Buncombe County Schools,Glen Arden Elementary,32.4,B,79.1,2
260363,Glendale Acres Elementary,Cumberland,Fayetteville,"2915 Skycrest Drive, Fayetteville, NC 28304",-78.926688,35.034974,aanomatch,aanomatch,,,,
510356,Glendale-Kenly Elementary,Johnston,Kenly,"2001 Bay Valley Rd, Kenly, NC 27542",-78.1557444,35.621534,Johnston County Schools,Glendale-Kenly Elementary,63,C,54.2,3
450339,Glenn C Marlow Elementary,Henderson,Mills River,"1985 Butler Bridge Road, Mills River, NC 28759",-82.5467362,35.4069099,Henderson County Schools,Glenn C Marlow Elementary,22.9,A,83.1,1
320320,Glenn Elementary,Durham,Durham,"2415 E Geer Street, Durham, NC 27704",-78.837487,36.029499,Durham Public Schools,Glenn Elementary,58.3,D,32.5,4
681320,"Glenwood Elementary, Chapel Hill",Orange,Chapel Hill,"2 Prestwick Rd, Chapel Hill, NC 27517",-79.0265007,35.9065743,Chapel Hill-Carrboro Schools,Glenwood Elementary,23.6,B,81.9,1
590316,"Glenwood Elementary, Marion",McDowell,Marion,"1545 Old Hwy 221 South, Marion, NC 28752",-81.9812778,35.6130893,McDowell County Schools,Glenwood Elementary School,52.9,B,65.4,2
32M000,Global Scholars Academy,Durham,Durham,"311 Dowd St, Durham, NC 27701",-78.8929997,36.0008147,Charter Schools,Global Scholars Academy,85.6,D,49.2,3
960335,Goldsboro High,Wayne,Goldsboro,"901 E Beech Street, Goldsboro, NC 27530",-77.9796645,35.3871146,Wayne County Public Schools,Goldsboro High,90.6,D,12.1,5
610320,Gouge Elementary,Mitchell,Bakersville,"134 Laurel Street, Bakersville, NC 28705",-82.152218,36.012928,Mitchell County Schools,Gouge Elementary,59,C,52,3
680328,Grady Brown Elementary,Orange,Hillsborough,"1100 New Grady Brown Rd, Hillsborough, NC 27278",-79.125873,36.051311,Orange County Schools,Grady Brown Elementary,52.1,C,57,3
250328,Graham A Barden Elementary,Craven,Havelock,"200 Cedar Drive, Havelock, NC 28532",-76.9164538,34.8974367,Craven County Schools,Graham A Barden Elementary,67.4,B,71.4,2
380LEA,Graham County Schools,Graham,Robbinsville,"52 Moose Branch Road, Robbinsville, NC 28771",-83.808195,35.325837,aanomatch,aanomatch,,,,
230342,Graham Elementary,Cleveland,Shelby,"1100 Blanton Street, Shelby, NC 28150",-81.558864,35.288762,Cleveland County Schools,Graham Elementary,78.3,F,25,4
10348,Graham High,Alamance,Graham,"903 Trollinger Road, Graham, NC 27253",-79.3830719,36.0754477,Alamance-Burlington Schools,Graham High,70.8,C,35.5,4
10350,Graham Middle,Alamance,Graham,"311 E Pine Street, Graham, NC 27253",-79.4052184,36.0683622,Alamance-Burlington Schools,Graham Middle,85.1,F,30.9,4
600558,Grand Oak Elementary,Mecklenburg,Huntersville,"15410 Stumptown Rd, Huntersville, NC 28078",-80.8719072,35.4264618,Charlotte-Mecklenburg Schools,Grand Oak Elementary,16.6,B,82.8,1
06A000,Grandfather Academy,Avery,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604",-81.8783765,36.1521736,Charter Schools,Grandfather Academy,50,F,<5,1
181316,Grandview Middle,Catawba,Hickory,"451 Catawba Valley Boulevard, Hickory, NC 28602",-81.3306379,35.704391,Hickory City Schools,Grandview Middle,74,C,53.7,3
150308,Grandy Primary,Camden,Camden,"175 NC Hwy 343 North, Camden, NC 27921",-76.1820435,36.332283,Camden County Schools,Grandy Primary,23.7,B,86.5,1
140340,Granite Falls Elementary,Caldwell,Granite Falls,"60 N Highland Avenue, Granite Falls, NC 28630",-81.4348379,35.8070328,Caldwell County Schools,Granite Falls Elementary,45.5,C,69.2,2
140336,Granite Falls Middle,Caldwell,Granite Falls,"90 N Main Street, Granite Falls, NC 28630",-81.4378558,35.8001122,Caldwell County Schools,Granite Falls Middle,42.3,C,59.9,3
800356,Granite Quarry Elementary,Rowan,Salisbury,"118 South Walnut St, Salisbury, NC 28146",-80.4489551,35.6120448,Rowan-Salisbury Schools,Granite Quarry Elementary,57.2,C,56,3
960336,Grantham,Wayne,Goldsboro,"174 Grantham School Rd, Goldsboro, NC 27530",-78.1665079,35.295371,Wayne County Public Schools,Grantham Elementary,66.8,B,70.6,2
960338,Grantham Middle,Wayne,Goldsboro,"3093 S US Hwy 13, Goldsboro, NC 27530",-78.1497816,35.2949716,Wayne County Public Schools,Grantham Middle,57.9,D,45.2,3
390321,Granville Academy,Granville,,,,,Granville County Schools,Granville Academy,38.6,D,48.9,3
390322,Granville Central High,Granville,Stem,"2043 Sanders Rd, Stem, NC 27581",-78.6882442,36.2087767,Granville County Schools,Granville Central High,55.1,C,47.5,3
390LEA,Granville County Schools,Granville,Oxford,"101 Delacroix St, Oxford, NC 27565",-78.5958022,36.3258359,aanomatch,aanomatch,,,,
390323,Granville Early College High,Granville,Creedmoor,"1552 South Campus Dr, Creedmoor, NC 27522",-78.7211228,36.1413341,Granville County Schools,Granville Early College High,35.7,A,94.3,1
680327,Gravelly Hill Middle,Orange,Efland,"4801 West Ten Road, Efland, NC 27243",-79.1990157,36.0714234,Orange County Schools,Gravelly Hill Middle,46.6,C,54.7,3
84B000,Gray Stone Day,Stanly,Misenheimer,"49464 Merner Terrace, Misenheimer, NC 28109",-80.2801643,35.4859575,Charter Schools,Gray Stone Day,<5,A,86.8,1
760328,Grays Chapel Elementary,Randolph,Franklinville,"5322 NC Hwy 22 N, Franklinville, NC 27248",-79.699221,35.820788,Randolph County Schools,Grays Chapel Elementary,52.5,C,66.3,2
