code,name,county,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
29A000,Davidson Charter Academy CFA,Davidson,Lexington," 500 Biesecker Rd, Lexington, NC 27295",aaUnknown,aaUnknown,Charter Schools,22.7,D,42.3,3
61X000,Mountain Island Day Community Charter,Mecklenburg,Charlotte,"1209 Little Rock Rd, Charlotte, NC 28214",aaUnknown,aaUnknown,Charter Schools,9.2,C,53.4,3
34Z000,Appalachian Academy at Middle Fork,Forsyth,Walkertown,"3125 Williston Rd, Walkertown, NC 27051",aaUnknown,aaUnknown,Lab Schools,<5,D,25.4,4
51B000,Johnston Charter Academy,Johnston,Clayton,"40 Scholar Dr, Clayton, NC 27520",aaUnknown,aaUnknown,Charter Schools,23.2,C,60.8,2
800406,West Rowan Elementary,Rowan,Cleveland,"480 Mimosa St, Cleveland, NC 27013",aaUnknown,aaUnknown,Rowan-Salisbury Schools,55.4,C,57.5,3
80B000,Essie Mae Kiser Foxx Charter,Rowan,East Spencer,"729 N. Long St. , East Spencer, NC 28144",aaUnknown,aaUnknown,Charter Schools,60,F,9.5,5
50303,Ashe County Early College High,Ashe,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Ashe County Schools,36.7,A,95,1
90376,Bladen Early College,Bladen,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Bladen County Schools,74.5,C,54.5,3
120354,Mountain View Elementary,Burke,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Burke County Schools,82.6,D,44.4,3
160343,Marine Sci. & Tech. Early College HS,Carteret,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Carteret County Public Schools,64.6,A,88.1,1
600593,Villa Heights Elementary,Mecklenburg,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Charlotte-Mecklenburg Schools,64.7,D,43.8,3
600583,Wilson STEM Academy,Mecklenburg,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Charlotte-Mecklenburg Schools,64.7,F,24.3,4
600303,Charlotte East Language Academy,Mecklenburg,Charlotte,aaUnknown,aaUnknown,aaUnknown,Charlotte-Mecklenburg Schools,57,D,41.2,3
93R000,Raleigh Oak Charter,Wake,Raleigh,aaUnknown,aaUnknown,aaUnknown,Charter Schools,5.1,C,56.2,3
93P000,Rolesville Charter Academy,Wake,Rolesville,aaUnknown,aaUnknown,aaUnknown,Charter Schools,22.5,C,64.7,2
41N000,The Experiential School of Greensboro,Guilford,Greensboro,aaUnknown,aaUnknown,aaUnknown,Charter Schools,18.7,D,50,3
53B000,Ascend Leadership Academy Lee County,Lee,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Charter Schools,17.4,D,54.1,3
61W000,East Voyager Academy of Charlotte,Mecklenburg,Charlotte,aaUnknown,aaUnknown,aaUnknown,Charter Schools,17.5,C,58.9,3
390321,Granville Academy,Granville,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Granville County Schools,38.6,D,48.9,3
590326,McDowell Academy for Innovation,McDowell,aaUnknown,aaUnknown,aaUnknown,aaUnknown,McDowell County Schools,54.5,C,50.8,3
640342,CITI High School,Nash maybe,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Nash-Rocky Mount Schools,83.3,F,<5,1
710350,Surf City Elementary,Pender,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Pender County Schools,39.3,B,74.8,2
710352,Surf City Middle,Pender,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Pender County Schools,32.4,B,69.4,2
740501,Innovation Early College High,Pitt,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Pitt County Schools,56.6,A,88.9,1
920561,South Garner High,Wake,Garner,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,58.2,D,37.7,4
920315,Apex Friendship Middle,Wake,Apex,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,13.1,A,84,1
920349,Bryan Road Elementary,Wake,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,48.8,B,66.9,2
920351,Buckhorn Creek Elementary,Wake,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,32.5,C,63.8,2
280302,Cape Hatteras Elementary School,Dare,Buxton,"47500 Middle Ridge, Buxton, NC 27920",-75.550493,35.258813,Dare County Schools,65.7,B,70.1,2
280304,Cape Hatteras Secondary School,Dare,Buxton,"48576 Highway 12, Buxton, NC 27920",-75.55224,35.2656064,Dare County Schools,49.4,B,65.1,2
280310,Nags Head Elementary School,Dare,Nags Head,"3100 S Wrightsville Avenue, Nags Head, NC 27959",-75.6386799,35.976068,Dare County Schools,42.2,B,75.7,2
280324,First Flight Elementary School,Dare,Kill Devil Hills,"107 Veterans Drive, Kill Devil Hills, NC 27948",-75.665397,36.0061833,Dare County Schools,42.5,B,76.5,2
280330,First Flight High School,Dare,Kill Devil Hills,"100 Veterans Drive, Kill Devil Hills, NC 27948",-75.666368,36.0092209,Dare County Schools,21,B,66.4,2
280328,First Flight Middle School,Dare,Kill Devil Hills,"109 Veterans Drive, Kill Devil Hills, NC 27948",-75.6674469,36.0052178,Dare County Schools,29.2,C,65.9,2
280312,Manteo Elementary School,Dare,Manteo,"701 N Hwy 64/264, Manteo, NC 27954",-75.6750822,35.9113163,Dare County Schools,52.4,C,58.4,3
280316,Manteo High School,Dare,Manteo,"829 Wingina Avenue, Manteo, NC 27954",-75.6751329,35.9142416,Dare County Schools,34.1,B,71.3,2
280320,Manteo Middle School,Dare,Manteo,"1000 N Hwy 64, Manteo, NC 27954",-75.680876,35.9202705,Dare County Schools,47.3,B,61.4,2
280308,Kitty Hawk Elementary School,Dare,Kitty Hawk,"16 Dogwood Trail, Kitty Hawk, NC 27949",-75.732743,36.097708,Dare County Schools,18.1,B,81.1,1
27A000,Water's Edge Village School,Currituck,Corolla,"1126 Schoolhouse Lane, Corolla, NC 27927",-75.832048,36.3782629,Charter Schools,<5,B,81.5,1
270309,Jarvisburg Elementary,Currituck,Jarvisburg,"110 Jarvisburg Rd, Jarvisburg, NC 27947",-75.856585,36.199125,Currituck County Schools,49.1,C,64.7,2
270320,W T Griggs Elementary,Currituck,Poplar Branch,"261 Poplar Branch Road, Poplar Branch, NC 27965",-75.8914829,36.280245,Currituck County Schools,47.8,C,61.4,2
270312,Knotts Island Elementary,Currituck,Knotts Island,"413 Woodleigh Road, Knotts Island, NC 27950",-75.9191392,36.5126916,Currituck County Schools,34.6,B,71.2,2
270308,Currituck County Middle,Currituck,Barco,"4263 Caratoke Hwy, Barco, NC 27917",-75.959602,36.378103,Currituck County Schools,36.3,C,51,3
270306,Currituck County High,Currituck,Barco,"4203 Caratoke Hwy, Barco, NC 27917",-75.9679957,36.372479,Currituck County Schools,24.3,C,52.1,3
480316,Ocracoke School,Hyde,Ocracoke,"120 Schoolhouse Rd, Ocracoke, NC 27960",-75.9785378,35.1120452,Hyde County Schools,65.5,B,77.4,2
270304,Central Elementary,Currituck,Barco,"504 Shortcut Road, Barco, NC 27917",-76.0091482,36.3895735,Currituck County Schools,45.4,C,59.7,3
270311,The JP Knapp ECH (i)School,Currituck,Currituck,"2966 Caratoke Hwy, Currituck, NC 27929",-76.0152197,36.4448126,Currituck County Schools,18.5,A,93.4,1
270310,Shawboro Elementary School,Currituck,Shawboro,"370 Shawboro Road, Shawboro, NC 27973",-76.086962,36.437194,Currituck County Schools,33.8,C,62,2
270318,Moyock Middle,Currituck,Moyock,"216 Survey Road, Moyock, NC 27958",-76.156626,36.501651,Currituck County Schools,26.5,B,62.2,2
700328,Weeksville Elementary,Pasquotank,Elizabeth City,"1170 Salem Church Rd, Elizabeth City, NC 27909",-76.1685,36.2046,Pasquotank County Schools,56.9,C,64.2,2
150304,Camden County High,Camden,Camden,"103 US 158 W, Camden, NC 27921",-76.1710635,36.3283688,Camden County Schools,20.9,B,58,3
150350,Camden Early College High,Camden,Camden,"103-A US Highway 158 West, Camden, NC 27921",-76.1718451,36.32806,Camden County Schools,15.2,B,78.8,2
270316,Moyock Elementary,Currituck,Moyock,"255 Tulls Creek Road, Moyock, NC 27958",-76.1736643,36.5245198,Currituck County Schools,17.8,B,68.7,2
150312,Camden Middle,Camden,Camden,"248 Scotland Road, Camden, NC 27921",-76.174118,36.361001,Camden County Schools,25.4,B,65.1,2
150308,Grandy Primary,Camden,Camden,"175 NC Hwy 343 North, Camden, NC 27921",-76.1820435,36.332283,Camden County Schools,23.7,B,86.5,1
150310,Camden Intermediate,Camden,Camden,"123 Noblitt Drive, Camden, NC 27921",-76.18297,36.33174,Camden County Schools,21.3,C,67.5,2
700322,River Road Middle,Pasquotank,Elizabeth City,"1701 River Road, Elizabeth City, NC 27909",-76.1976634,36.2754945,Pasquotank County Schools,67.2,C,46.6,3
700316,J C Sawyer Elementary,Pasquotank,Elizabeth City,"1007 Park St, Elizabeth City, NC 27909",-76.211246,36.2892197,Pasquotank County Schools,54.1,C,51.1,3
70A000,Northeast Academy of Aerospace & AdvTech,Pasquotank,Elizabeth City,"ECSU ITC Bldg, 1810 Weeksvile Rd, Elizabeth City, NC 27909",-76.2139598,36.281065,Charter Schools,13.7,C,62.6,2
480306,Mattamuskeet Elementary,Hyde,Swan Quarter,"60 Juniper Bay Road, Swan Quarter, NC 27885",-76.217128,35.440926,Hyde County Schools,71,D,43.8,3
480318,Mattamuskeet Early College High,Hyde,Swan Quarter,"20392 Hwy US 264, Swan Quarter, NC 27885",-76.218858,35.441462,Hyde County Schools,59.5,C,50.9,3
700325,Elizabeth City Pasquotank Early College,Pasquotank,Elizabeth City,"1208 N Road St, Elizabeth City, NC 27909",-76.220255,36.3249633,Pasquotank County Schools,52.5,B,76.1,2
700318,Pasquotank Elementary,Pasquotank,Elizabeth City,"1407 Peartree Rd, Elizabeth City, NC 27909",-76.2243629,36.2835366,Pasquotank County Schools,53,F,25.5,4
700324,Sheep-Harney Elementary,Pasquotank,Elizabeth City,"200 W Elizabeth St, Elizabeth City, NC 27909",-76.2245097,36.3030839,Pasquotank County Schools,52.3,C,56,3
700320,P W Moore Elementary,Pasquotank,Elizabeth City,"606 Roanoke Ave, Elizabeth City, NC 27909",-76.2286296,36.2897577,Pasquotank County Schools,66.3,F,30.1,4
890308,Tyrrell Elementary,Tyrrell,Columbia,"486 Elementary School Road, Columbia, NC 27925",-76.241245,35.91362,Tyrrell County Schools,44.6,D,42,3
890304,Columbia High,Tyrrell,Columbia,"902 Main St, Columbia, NC 27925",-76.246185,35.919445,Tyrrell County Schools,43.3,C,31.4,4
890306,Columbia Middle,Tyrrell,Columbia,"920 Main Street, Columbia, NC 27925",-76.246185,35.919445,Tyrrell County Schools,43.5,D,37,4
700317,Northeastern High,Pasquotank,Elizabeth City,"963 Oak Stump Rd, Elizabeth City, NC 27909",-76.2567873,36.2860483,Pasquotank County Schools,53.9,C,34,4
700306,Central Elementary,Pasquotank,Elizabeth City,"1059 US Hwy 17, Elizabeth City, NC 27909",-76.2629148,36.2885042,Pasquotank County Schools,56.2,C,60.4,2
700308,Elizabeth City Middle,Pasquotank,Elizabeth City,"1066 Northside Road, Elizabeth City, NC 27909",-76.2710426,36.3679416,Pasquotank County Schools,67,D,41.2,3
700314,Northside Elementary,Pasquotank,Elizabeth City,"1062 Northside Rd, Elizabeth City, NC 27909",-76.2719254,36.3566455,Pasquotank County Schools,53.9,C,61.4,2
700319,Pasquotank County High,Pasquotank,Elizabeth City,"1064 Northside Road, Elizabeth City, NC 27909",-76.2735096,36.3654528,Pasquotank County Schools,57.1,D,30.3,4
160304,Atlantic Elementary,Carteret,Atlantic,"151 School Drive, Atlantic, NC 28511",-76.343587,34.884413,Carteret County Public Schools,78.6,B,70,2
940306,Creswell Elementary,Washington,Creswell,"200 South Seventh St, Creswell, NC 27928",-76.3970472,35.870622,Washington County Schools,53.5,D,47.3,3
720320,Perquimans County Middle,Perquimans,Winfall,"312 W Main Street, Winfall, NC 27985",-76.4717625,36.2216001,Perquimans County Schools,59.7,C,53.3,3
720316,Perquimans County High,Perquimans,Hertford,"305 Edenton Road St, Hertford, NC 27944",-76.474272,36.184164,Perquimans County Schools,52.4,C,45.5,3
720312,Hertford Grammar,Perquimans,Hertford,"603 Dobbs Street, Hertford, NC 27944",-76.4773467,36.1895273,Perquimans County Schools,55.6,C,57.5,3
160332,Down East Middle and Smyrna Elementary,Carteret,Smyrna,"174 Marshallberg Road, Smyrna, NC 28579",-76.529883,34.757643,Carteret County Public Schools,71.1,C,65.5,2
160316,Harkers Island Elementary,Carteret,Harkers Island,"1163 Island Road, Harkers Island, NC 28531",-76.5513014,34.6942049,Carteret County Public Schools,67.7,B,82.6,1
210312,John A Holmes High,Chowan,Edenton,"600 Woodard Street, Edenton, NC 27932",-76.604502,36.06671,Edenton-Chowan Schools,52.5,C,51.3,3
370324,T S Cooper Elementary,Gates,Sunbury,"237 NC 32 South, Sunbury, NC 27979",-76.6067607,36.4244573,Gates County Schools,51.8,D,40.2,3
940328,Washington County Middle,Washington,Roper,"37 E Mill Pond Rd, Roper, NC 27970",-76.6100643,35.8716266,Washington County Schools,63.5,D,38.1,4
940330,Washington Early College High,Washington,Roper,"102 NC Hwy 32 North, Roper, NC 27970",-76.6160668,35.8784412,Washington County Schools,28.6,B,78.6,2
160313,East Carteret High,Carteret,Beaufort,"3263 Hwy 70 E, Beaufort, NC 28516",-76.6309636,34.7816174,Carteret County Public Schools,59.8,A,75,2
16B000,Tiller School,Carteret,Beaufort,"1950 Live Oak Street, Beaufort, NC 28516",-76.6340875,34.7348897,Charter Schools,27.4,B,78,2
160310,Beaufort Middle,Carteret,Beaufort,"100 Carraway Drive, Beaufort, NC 28516",-76.6446104,34.7300759,Carteret County Public Schools,67,B,66,2
160308,Beaufort Elementary,Carteret,Beaufort,"110 Carraway Drive, Beaufort, NC 28516",-76.6469568,34.7296582,Carteret County Public Schools,71.3,B,67.5,2
210306,D F Walker Elementary,Chowan,Edenton,"125 Sandy Ridge Road, Edenton, NC 27932",-76.6541761,36.1635769,Edenton-Chowan Schools,66.6,C,59.5,3
210304,Chowan Middle,Chowan,Tyner,"2845 Virginia Road, Tyner, NC 27980",-76.6565,36.232703,Edenton-Chowan Schools,65.9,C,54.9,3
940314,Pines Elementary,Washington,Plymouth,"3177 US Hwy 64E, Plymouth, NC 27962",-76.6921778,35.8735014,Washington County Schools,71.3,D,37.8,4
70329,Northeast Elementary,Beaufort,Pinetown,"21000 US Hwy 264 East, Pinetown, NC 27865",-76.7093004,35.5382576,Beaufort County Schools,56.6,C,49.7,3
370308,Central Middle School,Gates,Gatesville,"362 US Hwy 158 W, Gatesville, NC 27938",-76.7274762,36.4364316,Gates County Schools,49,C,55.6,3
70330,Northside High,Beaufort,Pinetown,"7868 Free Union Church Road, Pinetown, NC 27865",-76.7299827,35.5365774,Beaufort County Schools,42.1,C,43.6,3
940316,Washington County High,Washington,Plymouth,"800 E Main St, Plymouth, NC 27962",-76.7385947,35.8703381,Washington County Schools,63.1,C,24.1,4
160318,Morehead City Middle,Carteret,Morehead City,"400 Barbour Road, Morehead City, NC 28557",-76.7409567,34.7327732,Carteret County Public Schools,52.1,B,72.4,2
160317,Morehead Elem at Camp Glenn,Carteret,Morehead City,"3316 Arendell Street, Morehead City, NC 28557",-76.7496683,34.7253384,Carteret County Public Schools,58.3,B,69,2
370312,Gates County Senior High,Gates,Gatesville,"088 Hwy 158 West, Gatesville, NC 27938",-76.7530098,36.4034878,Gates County Schools,45.4,C,50.7,3
370316,Gatesville Elementary,Gates,Gatesville,"709 Main Street, Gatesville, NC 27938",-76.7552099,36.4103117,Gates County Schools,61.3,B,63.6,2
370304,Buckland Elementary,Gates,Gates,"448 NC 37 North, Gates, NC 27937",-76.759473,36.468814,Gates County Schools,52.4,C,56.5,3
690316,Pamlico County Middle,Pamlico,Bayboro,"15526 NC Hwy 55 East, Bayboro, NC 28515",-76.7623083,35.1384809,Pamlico County Schools,48.8,C,56.2,3
80360,Colerain Elementary,Bertie,Colerain,"202 N Academy Street, Colerain, NC 27924",-76.7710699,36.1994918,Bertie County Schools,66.3,C,50,3
160322,Morehead City Primary,Carteret,Morehead City,"4409 Country Club Road, Morehead City, NC 28557",-76.7774733,34.7333184,Carteret County Public Schools,59.6,B,78.6,2
690320,Pamlico County High,Pamlico,Bayboro,"601 Main Street, Bayboro, NC 28515",-76.778686,35.1415602,Pamlico County Schools,54.7,C,52.3,3
690312,Fred A Anderson Elementary,Pamlico,Bayboro,"515 Anderson Drive, Bayboro, NC 28515",-76.7793944,35.1396514,Pamlico County Schools,58.6,C,51,3
160344,West Carteret High,Carteret,Morehead City,"4700 Country Club Road, Morehead City, NC 28557",-76.7866286,34.7383291,Carteret County Public Schools,49.6,B,72.6,2
70340,S W Snowden Elementary,Beaufort,Aurora,"693 North 7th Street, Aurora, NC 27806",-76.7925358,35.3064178,Beaufort County Schools,84.4,C,43.6,3
70308,Bath Elementary,Beaufort,Bath,"110 S King Street, Bath, NC 27808",-76.8111894,35.4751685,Beaufort County Schools,27.7,C,68.3,2
69A000,Arapahoe Charter School,Pamlico,Arapahoe,"9005 NC Hwy 306 S, Arapahoe, NC 28510",-76.8215494,35.01302,Charter Schools,60.4,C,58.3,3
160324,Newport Elementary,Carteret,Newport,"219 Chatham Street, Newport, NC 28570",-76.861207,34.791355,Carteret County Public Schools,72.7,C,60.8,2
160326,Newport Middle,Carteret,Newport,"500 E Chatham Street, Newport, NC 28570",-76.8617362,34.7736905,Carteret County Public Schools,64.5,B,73.9,2
250362,Roger Bell New Tech Academy,Craven,Havelock,"804 Fontana Boulevard, Havelock, NC 28532",-76.8806536,34.8810332,Craven County Schools,58.2,C,44.2,3
250340,Havelock High,Craven,Havelock,"101 Webb Boulevard, Havelock, NC 28532",-76.892972,34.879907,Craven County Schools,50.6,B,65.7,2
250321,Early College EAST High,Craven,Havelock,"104 Middle School Lane, Havelock, NC 28532",-76.8971976,34.8775731,Craven County Schools,30.6,A,88.6,1
94Z000,Northeast Regional School - Biotech/Agri,Washington,Jamesville,"1215 Saint Andrews St, Jamesville, NC 27846",-76.8979037,35.8095455,Regional Schools,25,B,81.3,1
250344,Havelock Middle,Craven,Havelock,"102 Middle School Lane, Havelock, NC 28532",-76.8982898,34.877554,Craven County Schools,67.5,D,46.7,3
250336,Havelock Elementary,Craven,Havelock,"201 Cunningham Boulevard, Havelock, NC 28532",-76.9004688,34.8774373,Craven County Schools,66.3,C,57.1,3
580324,Jamesville Elementary,Martin,Jamesville,"1220 Hardison St, Jamesville, NC 27846",-76.9010842,35.8097313,Martin County Schools,36.8,C,58.8,3
160311,Broad Creek Middle,Carteret,Newport,"2382 Hwy 24, Newport, NC 28570",-76.9140549,34.7295904,Carteret County Public Schools,41.4,B,76.5,2
250328,Graham A Barden Elementary,Craven,Havelock,"200 Cedar Drive, Havelock, NC 28532",-76.9164538,34.8974367,Craven County Schools,67.4,B,71.4,2
80362,Windsor Elementary,Bertie,Windsor,"104 Cooper Hill Road, Windsor, NC 27983",-76.9204929,35.987805,Bertie County Schools,65.6,C,48.6,3
250380,Arthur W Edwards Elementary,Craven,Havelock,"200 Education Lane, Havelock, NC 28532",-76.9273043,34.9096726,Craven County Schools,53.8,C,60.1,2
250378,W Jesse Gurganus Elementary,Craven,Havelock,"535 Hwy 70 W, Havelock, NC 28532",-76.9382278,34.9117753,Craven County Schools,38.9,B,80.3,1
250368,Tucker Creek Middle,Craven,Havelock,"200 Sermons Boulevard, Havelock, NC 28532",-76.9389154,34.929364,Craven County Schools,47.4,B,69.1,2
460340,CS Brown High,Hertford,Winton,"102 CSB Dr, Winton, NC 27986",-76.9390878,36.3862004,Hertford County Schools,37.3,A,69,2
08A000,Three Rivers Academy,Bertie,Windsor,"118-B County Farm Road, Windsor, NC 27983",-76.9466248,35.9776865,Charter Schools,72.4,F,8.6,5
160314,Croatan High,Carteret,Newport,"1 Cougar Lane, Newport, NC 28570",-76.9504094,34.7161474,Carteret County Public Schools,33.1,A,75.5,2
160306,Bogue Sound Elementary,Carteret,Newport,"3323 Highway 24, Newport, NC 28570",-76.9520127,34.7206075,Carteret County Public Schools,60.6,B,69.3,2
80314,Bertie Middle,Bertie,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907,Bertie County Schools,58.2,D,45,3
70311,Beaufort Co Early College High,Beaufort,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105,Beaufort County Schools,53.1,A,>95,1
07A000,Washington Montessori,Beaufort,Washington,"2330 Old Bath Hwy, Washington, NC 27889",-76.9795696,35.5398036,Charter Schools,10,C,65.8,2
460312,Bearfield Primary,Hertford,Ahoskie,"145 Hertford Co High School Rd, Ahoskie, NC 27910",-76.993872,36.295519,Hertford County Schools,64.6,C,65.5,2
460308,Ahoskie Elementary,Hertford,Ahoskie,"200 N Talmage St, Ahoskie, NC 27910",-76.994518,36.2916745,Hertford County Schools,63.7,F,34.3,4
460320,Hertford County High,Hertford,Ahoskie,"1500 W First St, Ahoskie, NC 27910",-76.997607,36.2962907,Hertford County Schools,55.2,D,24.5,4
80311,Bertie Early College High,Bertie,Windsor,"819 Governors Road, Windsor, NC 27983",-77.0134803,36.0343083,Bertie County Schools,31.4,A,85.2,1
70342,Washington High,Beaufort,Washington,"400 Slatestone Road, Washington, NC 27889",-77.0151413,35.5573276,Beaufort County Schools,50.2,C,36.5,4
250312,Brinson Memorial Elementary,Craven,New Bern,"319 Neuse Forest Avenue, New Bern, NC 28560",-77.0171783,35.0680855,Craven County Schools,54,C,55.1,3
250316,Creekside Elementary,Craven,New Bern,"2790 Landscape Drive, New Bern, NC 28562",-77.0214521,35.0272327,Craven County Schools,25.4,B,78.6,2
460322,Hertford Co Early College,Hertford,Ahoskie,"109 Community College Rd, Ahoskie, NC 27910",-77.022818,36.325417,Hertford County Schools,28.8,B,81.5,1
70338,P S Jones Middle,Beaufort,Washington,"4105 N Market Street Ext, Washington, NC 27889",-77.0351852,35.5990328,Beaufort County Schools,60.8,C,49.7,3
70328,John Small Elementary,Beaufort,Washington,"4103 North Market Street Ext, Washington, NC 27889",-77.0395955,35.5686437,Beaufort County Schools,65.2,C,55.8,3
250308,Bridgeton Elementary,Craven,New Bern,"230 Branch Canal Road, New Bern, NC 28560",-77.042144,35.1545883,Craven County Schools,69.6,C,48,3
70339,Southside High,Beaufort,Chocowinity,"5700 Hwy 33 East, Chocowinity, NC 27817",-77.0568718,35.4461925,Beaufort County Schools,58,C,47,3
160352,White Oak Elementary,Carteret,Cape Carteret,"555 WB McLean Drive, Cape Carteret, NC 28584",-77.0596461,34.6939705,Carteret County Public Schools,39.2,B,73.3,2
580312,E J Hayes Elementary,Martin,Williamston,"201 Andrews St, Williamston, NC 27892",-77.0624277,35.84707,Martin County Schools,58.2,D,44.5,3
250348,J T Barber Elementary,Craven,New Bern,"1700 Cobb Street, New Bern, NC 28560",-77.0638683,35.1194548,Craven County Schools,87.6,D,27.7,4
70327,John C Tayloe Elementary,Beaufort,Washington,"910 Tarboro Street, Washington, NC 27889",-77.0639342,35.5577761,Beaufort County Schools,63.2,C,54.5,3
250360,Oaks Road Academy,Craven,New Bern,"2811 Oaks Road, New Bern, NC 28560",-77.0655386,35.1277177,Craven County Schools,80.6,D,32.6,4
580372,Riverside Middle,Martin,Williamston,"2920 US Hwy 17, Williamston, NC 27892",-77.067263,35.81482,Martin County Schools,54.3,D,39,4
580368,Riverside High,Martin,Williamston,"1260 Godwin Ave, Williamston, NC 27892",-77.0677912,35.8387841,Martin County Schools,42.8,C,35.8,4
250324,Grover C Fields Middle,Craven,New Bern,"2000 M L King Jr Boulevard, New Bern, NC 28560",-77.0712982,35.1104447,Craven County Schools,45.1,C,59,3
460332,Riverview Elementary,Hertford,Murfreesboro,"236 US 158 Business, Murfreesboro, NC 27855",-77.07536,36.4390069,Hertford County Schools,66.3,D,48.6,3
580356,Rodgers Elementary,Martin,Williamston,"2277 Rodgers School Rd, Williamston, NC 27892",-77.077079,35.781898,Martin County Schools,33.2,C,63.8,2
250364,Trent Park Elementary,Craven,New Bern,"2500 Educational Drive, New Bern, NC 28562",-77.080557,35.109824,Craven County Schools,74.9,C,49.2,3
250304,Albert H Bangert Elementary,Craven,New Bern,"3712 Canterbury Road, New Bern, NC 28562",-77.08364,35.083429,Craven County Schools,57.7,B,75.1,2
460318,Hertford County Middle,Hertford,Murfreesboro,"1850 Hwy 11N, Murfreesboro, NC 27855",-77.0887329,36.429706,Hertford County Schools,58.2,D,28.5,4
70326,Chocowinity Primary,Beaufort,Chocowinity,"606 Gray Road, Chocowinity, NC 27817",-77.0946226,35.4980489,Beaufort County Schools,66.6,B,69.8,2
250332,H J MacDonald Middle,Craven,New Bern,"3127 Elizabeth Avenue, New Bern, NC 28562",-77.0977115,35.1173264,Craven County Schools,67.1,D,48.4,3
70325,Chocowinity Middle,Beaufort,Chocowinity,"3831 US HWY 17 S, Chocowinity, NC 27817",-77.1007959,35.5098445,Beaufort County Schools,65.1,C,56.4,3
250314,Craven Early College High,Craven,New Bern,"800 College Court, New Bern, NC 28562",-77.1022053,35.1103856,Craven County Schools,45.8,A,82.6,1
80348,Aulander Elementary,Bertie,Aulander,"2515 NC Highway 305 North, Aulander, NC 27805",-77.1058429,36.2154879,Bertie County Schools,63.9,C,53.1,3
250356,New Bern High,Craven,New Bern,"4200 Academic Drive, New Bern, NC 28562",-77.1156166,35.1004056,Craven County Schools,51.1,C,55.1,3
58B000,Bear Grass Charter School,Martin,Williamston,"6344 E Bear Grass Rd, Williamston, NC 27982",-77.1265283,35.7688102,Charter Schools,14.9,B,70.9,2
250306,Ben D Quinn Elementary,Craven,New Bern,"4275 M L King Jr Boulevard, New Bern, NC 28562",-77.128472,35.0918956,Craven County Schools,54.1,C,60.7,2
250372,West Craven High,Craven,Vanceboro,"2600 Streets Ferry Road, Vanceboro, NC 28586",-77.1383846,35.2376529,Craven County Schools,64.7,C,42,3
670350,Swansboro Elementary,Onslow,Swansboro,"118 School Rd, Swansboro, NC 28584",-77.1399025,34.6951307,Onslow County Schools,36.2,B,72.4,2
250320,Vanceboro-Farm Life Elementary,Craven,Vanceboro,"2000 Farm Life Avenue, Vanceboro, NC 28586",-77.1465944,35.3070019,Craven County Schools,79.6,D,45.6,3
250376,West Craven Middle,Craven,New Bern,"515 NW Craven Mid School Road, New Bern, NC 28562",-77.1508531,35.217075,Craven County Schools,72.9,D,38.7,4
670351,Swansboro Middle,Onslow,Swansboro,"1240 West Corbett Ave, Swansboro, NC 28584",-77.1515469,34.704774,Onslow County Schools,45.9,C,59.6,3
670335,Queens Creek Elementary,Onslow,Swansboro,"159 Queens Creek Road, Swansboro, NC 28584",-77.1539162,34.7010881,Onslow County Schools,53.1,B,68.8,2
670352,Swansboro High,Onslow,Swansboro,"161 Queens Creek Rd, Swansboro, NC 28584",-77.1542979,34.6997616,Onslow County Schools,39.5,B,66.4,2
710346,Topsail Middle,Pender,Hampstead,"17445 US Hwy 17, Hampstead, NC 28443",-77.172095,35.0753241,Pender County Schools,28.4,B,76.2,2
740358,G R Whitfield,Pitt,Grimesland,"4839 School Rd, Grimesland, NC 27837",-77.1805052,35.5642188,Pitt County Schools,64.8,C,56.3,3
660360,Willis Hare Elementary,Northampton,Pendleton,"479 Willis Hare Road, Pendleton, NC 27862",-77.188922,36.478311,Northampton County Schools,68.3,D,41.6,3
670341,Sand Ridge Elementary,Onslow,Hubert,"868 Sand Ridge Road, Hubert, NC 28539",-77.2012577,34.6631196,Onslow County Schools,56.2,C,61.1,2
670342,Silverdale Elementary,Onslow,Maysville,"841 Smith Road, Maysville, NC 28555",-77.202623,34.777909,Onslow County Schools,53.5,C,59.4,3
80356,West Bertie Elementary,Bertie,Kelford,"3734 Governors Road, Kelford, NC 27847",-77.2149439,36.1578521,Bertie County Schools,68.9,D,42.9,3
